Strain,Dye,Spore_number,Measurement,Value
UM11,Lactic acid,1,length,6.59
UM11,Lactic acid,2,length,6.8
UM11,Lactic acid,3,length,7.12
UM11,Lactic acid,4,length,6.53
UM11,Lactic acid,5,length,5.71
UM11,Lactic acid,6,length,6.53
UM11,Lactic acid,7,length,5.88
UM11,Lactic acid,8,length,6.89
UM11,Lactic acid,9,length,6.66
UM11,Lactic acid,10,length,7.18
UM11,Lactic acid,11,length,6.01
UM11,Lactic acid,12,length,6.52
UM11,Lactic acid,13,length,6.29
UM11,Lactic acid,14,length,6.83
UM11,Lactic acid,15,length,6.18
UM11,Lactic acid,16,length,6.27
UM11,Lactic acid,17,length,6.16
UM11,Lactic acid,18,length,7.37
UM11,Lactic acid,19,length,6.4
UM11,Lactic acid,20,length,6.39
UM11,Lactic acid,21,length,6.95
UM11,Lactic acid,22,length,7.09
UM11,Lactic acid,23,length,8.03
UM11,Lactic acid,24,length,5.93
UM11,Lactic acid,25,length,6.12
UM14,Lactic acid,1,length,7.32
UM14,Lactic acid,2,length,7.86
UM14,Lactic acid,3,length,7.99
UM14,Lactic acid,4,length,7
UM14,Lactic acid,5,length,6.71
UM14,Lactic acid,6,length,7.64
UM14,Lactic acid,7,length,7.79
UM14,Lactic acid,8,length,7.5
UM14,Lactic acid,9,length,7.39
UM14,Lactic acid,10,length,6.77
UM14,Lactic acid,11,length,7.23
UM14,Lactic acid,12,length,7.57
UM14,Lactic acid,13,length,6.62
UM14,Lactic acid,14,length,7.78
UM14,Lactic acid,15,length,6.55
UM14,Lactic acid,16,length,8.01
UM14,Lactic acid,17,length,7.8
UM14,Lactic acid,18,length,7.06
UM14,Lactic acid,19,length,7.51
UM14,Lactic acid,20,length,7.29
UM14,Lactic acid,21,length,6.85
UM14,Lactic acid,22,length,7.61
UM14,Lactic acid,23,length,7.61
UM14,Lactic acid,24,length,7.28
UM14,Lactic acid,25,length,7.57
VF11,Lactic acid,1,length,7.19
VF11,Lactic acid,2,length,7.45
VF11,Lactic acid,3,length,7.16
VF11,Lactic acid,4,length,7.6
VF11,Lactic acid,5,length,6.71
VF11,Lactic acid,6,length,7.99
VF11,Lactic acid,7,length,7.24
VF11,Lactic acid,8,length,7.22
VF11,Lactic acid,9,length,7.34
VF11,Lactic acid,10,length,7.01
VF11,Lactic acid,11,length,7.17
VF11,Lactic acid,12,length,6.53
VF11,Lactic acid,13,length,6.47
VF11,Lactic acid,14,length,7.19
VF11,Lactic acid,15,length,7.15
VF11,Lactic acid,16,length,6.36
VF11,Lactic acid,17,length,7.17
VF11,Lactic acid,18,length,7.57
VF11,Lactic acid,19,length,7.67
VF11,Lactic acid,20,length,6.88
VF11,Lactic acid,21,length,7.18
VF11,Lactic acid,22,length,6.96
VF11,Lactic acid,23,length,8.05
VF11,Lactic acid,24,length,6.27
VF11,Lactic acid,25,length,7.59
VF41,Lactic acid,1,length,7.01
VF41,Lactic acid,2,length,6.9
VF41,Lactic acid,3,length,6.71
VF41,Lactic acid,4,length,5.6
VF41,Lactic acid,5,length,5.93
VF41,Lactic acid,6,length,6.26
VF41,Lactic acid,7,length,6.02
VF41,Lactic acid,8,length,6.93
VF41,Lactic acid,9,length,6.78
VF41,Lactic acid,10,length,6.17
VF41,Lactic acid,11,length,6.16
VF41,Lactic acid,12,length,6.53
VF41,Lactic acid,13,length,6.32
VF41,Lactic acid,14,length,7.1
VF41,Lactic acid,15,length,6.62
VF41,Lactic acid,16,length,6.76
VF41,Lactic acid,17,length,5.95
VF41,Lactic acid,18,length,7.18
VF41,Lactic acid,19,length,6.95
VF41,Lactic acid,20,length,6.98
VF41,Lactic acid,21,length,5.77
VF41,Lactic acid,22,length,6.85
VF41,Lactic acid,23,length,7.04
VF41,Lactic acid,24,length,5.43
VF41,Lactic acid,25,length,6.54
UM11,Lactic acid,1,width,2.92
UM11,Lactic acid,2,width,2.68
UM11,Lactic acid,3,width,2.42
UM11,Lactic acid,4,width,2.21
UM11,Lactic acid,5,width,2.6
UM11,Lactic acid,6,width,2.71
UM11,Lactic acid,7,width,2.48
UM11,Lactic acid,8,width,2.62
UM11,Lactic acid,9,width,2.77
UM11,Lactic acid,10,width,2.77
UM11,Lactic acid,11,width,2.39
UM11,Lactic acid,12,width,2.48
UM11,Lactic acid,13,width,2.56
UM11,Lactic acid,14,width,2.98
UM11,Lactic acid,15,width,2.43
UM11,Lactic acid,16,width,2.61
UM11,Lactic acid,17,width,2.64
UM11,Lactic acid,18,width,3.12
UM11,Lactic acid,19,width,2.59
UM11,Lactic acid,20,width,2.82
UM11,Lactic acid,21,width,2.52
UM11,Lactic acid,22,width,3.09
UM11,Lactic acid,23,width,3.08
UM11,Lactic acid,24,width,2.47
UM11,Lactic acid,25,width,2.61
UM14,Lactic acid,1,width,2.87
UM14,Lactic acid,2,width,2.64
UM14,Lactic acid,3,width,2.79
UM14,Lactic acid,4,width,2.41
UM14,Lactic acid,5,width,2.67
UM14,Lactic acid,6,width,2.36
UM14,Lactic acid,7,width,2.51
UM14,Lactic acid,8,width,2.36
UM14,Lactic acid,9,width,2.77
UM14,Lactic acid,10,width,2.39
UM14,Lactic acid,11,width,2.78
UM14,Lactic acid,12,width,2.44
UM14,Lactic acid,13,width,2.54
UM14,Lactic acid,14,width,2.65
UM14,Lactic acid,15,width,2.53
UM14,Lactic acid,16,width,2.49
UM14,Lactic acid,17,width,2.51
UM14,Lactic acid,18,width,2.64
UM14,Lactic acid,19,width,2.3
UM14,Lactic acid,20,width,2.48
UM14,Lactic acid,21,width,2.6
UM14,Lactic acid,22,width,2.36
UM14,Lactic acid,23,width,2.46
UM14,Lactic acid,24,width,2.63
UM14,Lactic acid,25,width,2.39
VF11,Lactic acid,1,width,2.99
VF11,Lactic acid,2,width,3.03
VF11,Lactic acid,3,width,2.62
VF11,Lactic acid,4,width,2.36
VF11,Lactic acid,5,width,2.96
VF11,Lactic acid,6,width,3.54
VF11,Lactic acid,7,width,3.11
VF11,Lactic acid,8,width,2.87
VF11,Lactic acid,9,width,2.81
VF11,Lactic acid,10,width,2.85
VF11,Lactic acid,11,width,2.64
VF11,Lactic acid,12,width,2.45
VF11,Lactic acid,13,width,2.64
VF11,Lactic acid,14,width,3.09
VF11,Lactic acid,15,width,2.45
VF11,Lactic acid,16,width,2.45
VF11,Lactic acid,17,width,2.82
VF11,Lactic acid,18,width,2.7
VF11,Lactic acid,19,width,2.63
VF11,Lactic acid,20,width,2.54
VF11,Lactic acid,21,width,2.92
VF11,Lactic acid,22,width,2.57
VF11,Lactic acid,23,width,2.65
VF11,Lactic acid,24,width,2.7
VF11,Lactic acid,25,width,2.67
VF41,Lactic acid,1,width,2.05
VF41,Lactic acid,2,width,2.12
VF41,Lactic acid,3,width,2.14
VF41,Lactic acid,4,width,2.15
VF41,Lactic acid,5,width,2.23
VF41,Lactic acid,6,width,2.23
VF41,Lactic acid,7,width,2.26
VF41,Lactic acid,8,width,2.26
VF41,Lactic acid,9,width,2.27
VF41,Lactic acid,10,width,2.28
VF41,Lactic acid,11,width,2.31
VF41,Lactic acid,12,width,2.37
VF41,Lactic acid,13,width,2.38
VF41,Lactic acid,14,width,2.41
VF41,Lactic acid,15,width,2.45
VF41,Lactic acid,16,width,2.45
VF41,Lactic acid,17,width,2.46
VF41,Lactic acid,18,width,2.47
VF41,Lactic acid,19,width,2.48
VF41,Lactic acid,20,width,2.5
VF41,Lactic acid,21,width,2.51
VF41,Lactic acid,22,width,2.53
VF41,Lactic acid,23,width,2.56
VF41,Lactic acid,24,width,2.67
VF41,Lactic acid,25,width,2.83